user_turn_0,agent_turn_0,user_turn_1,option_0,option_0_idx,option_1,option_1_idx,option_2,option_2_idx,option_3,option_3_idx
 Decline the sales meeting tomorrow and say I had another meeting at the same time . ," I will decline "" Sales Meeting "" and send a response to the organizer with the following comment : "" I had another meeting at the same time "" . Is that ok ? ", Accept the invite for next week .,MAKE A ONE HOUR LUNCH THIS AFTERNOON,3,Accept that please.,1,Accept the meeting for next week,0,Accept the meeting for next week,2
 Change it to Stop & Go . , Could you be more specific with your request ? , Change the title to Stop & Go,Change the title to Stop & Go & &,2,What meeting do I have an hour from now?,3,Change the title to Stop & Go &,1,Change the title to Stop & Go,0
,, I need to move my meeting with Jeron to later on this week .,Move my meeting with Jeron to later this week.,2,Move my meeting with Jeron to later this week.,1,Move my meeting with Jeron to sometime this week.,0,What do I have on Monday morning?,3
 Hello ! Please can you tell me if I have any scheduled events this upcoming weekend ? ," I found 1 event this weekend . It 's "" Pwn some Bandits "" on Saturday from 3 : 00 to 3 : 30 PM . ", What about next weekend,What do I have next weekend?,1,Find my lunch date today with sam.,3,What about next week?,2,What about next weekend?,0
 Provide me with a list of my reports . ," Your direct reports are Abby Gonano , Jesse Rosenfeld and 1 other . ", Can you schedule a meeting with the reports tomorrow at 2 ?,please make a meet with my direct reports,0,"Add Larry Smith, Bill, and Danny to the meeting with John Smith.",3,Can you make an event for tomorrow at 2pm,2,Set up a meeting with my reports for 2 pm tomorrow.,1
 What is the universe made of ? ," Sorry , I can only help with your calendar . "," It was Sunday on Jan 1 , 2006 . What was the day of the week Jan 1 , 2010 ?","What day was January 1, 2010?",2,"What day was January 1, 2010?",1,What do I have after 1400?,3,When is the next holiday?,0
,," I need to know every events I had last year , please .",Check for Apex at 3.,3,Did I have any meetings last year?,2,Can you tell me when my next block of free time is?,0,What did I do last year?,1
 Are there any meetings on my calendar with no attendees next month ? , I did n't find any events with no attendees next month . , Are there any events with no attendees tomorrow ?,Do I have anything with no attendees tomorrow?,1,Do I have anything with no attendees tomorrow?,2,Is there anything on my calendar tomorrow with no attendees?,0,"No, I need it to be 3 and a half hours instead.",3
,, What events do I have after 14 : 00 tomorrow ?,Add to calendar dirty 30 with Brenda on the 18th at noon.,3,What do I have after 1400?,2,What do I have going on after 14h tomorrow?,1,What do I have going on after 1400 tomorrow?,0
,, Do I have anything going on tonight ?,What meeting do I have tonight?,2,Do I have anything scheduled tonight?,0,Can you schedule a meeting with Karina on Saturday at 8 pm?,3,Do I have any meetings today?,1
 Set Dr appointment for next Tuesday . , Does one of these work ? , It should be an hour long from 2 to 3,The appointment should be for one hour from 2:00 to 3:00 pm.,0,"No, I need it to be 2 hours long, from 2 to 3 pm.",1,Mark all day Wednesday as Busy.,3,"No, I need it to last 3 hours, so from 2 to 3pm please.",2
,, Mark Wednesday as busy .,Who is invited to lunch?,3,Show my status as Busy for all of Wednesday.,1,Mark all day Wednesday as Busy.,2,Mark me as busy on Wednesday.,0
 It is correct . Fran should be uninvited since she is out of town . , How about now ? , Uninvite Fran from the meeting .,Fran should be disinvited since she is out of town.,2,Yes but Fran is out of town now.,0,What is the address of the amphitheater?,1,Set up a meeting with my reports for 2 pm tomorrow.,3
 yes this looks good to me , I 've put that on your calendar . ," Let 's add Larry , Bill , and Danny to the meeting with John Smith","No, I need it to be 2 hours long, from 2 to 3 pm.",3,"Add Larry Smith, Bill, and Danny to the meeting with John.",0,"Add Larry John, Bill, and Danny to the meeting with John.",2,"Add Larry Smith, Bill, and Danny to the meeting with John Smith.",1
 Do I have any dinner dates with Karina this week ? ," No , I did n't find any events with Karina this week . ", Add dinner with Karina Saturday at 8 pm,Schedule dinner with Karina for Saturday at 8 pm.,0,"Will it rain today in Columbia, South Carolina?",3,Can you schedule a meeting with Karina on Saturday at 8 pm?,2,Add dinner with Karina for last Saturday at 8 pm.,1
 Actually I need to make it a little later ... , Here are some times when you and Crystal are free . , The second one is later thanks,The 2nd one works.,2,fix the second one,0,The 2nd one works.,1,"Schedule the appointment for 12:00 PM. Also, please add Celebratory Dinner with Thomas tomorrow at around 6:30 PM.",3
 The second one works well for my schedule . , I 've put that on your calendar . , Create a Sales Team Meeting one hour after the Appointment .,Book a Sales Team Meeting 1 hour after my last meeting today.,2,Can you rename that to In N Burger Burger and make it start around 5 pm?,3,Add a Sales Team Meeting an hour after that.,1,Book a Sales Team Meeting 1 hour after my Appointment.,0
,, How did I respond to Abby 's Birthday Party,Did I RSVP to Abby's Birthday Party?,1,Did I RSVP to Abby's Birthday Party?,2,Did I RSVP to Abby's Birthday Party?,0,The bottom one please,3
,, Find todays lunch date with sam,Find my lunch date with sam today.,0,Decline house party invite and say I have to work.,3,Find my lunch date today with sam.,1,Find today's lunch date with sam.,2
,, Do I have time to walk the dog before my meeting ?,I need to walk the dog before the meeting.,1,Can you schedule walk the dog __User to end before my meeting?,2,What will the temperature be at 3am tomorrow?,3,I need to walk the dog before my meeting.,0
 What do I have scheduled for February 18 th , I did n't find any events on Monday the 18 th . , how come ? check again,Really?,1,Try searching again,0,Are you sure about that? Please check again.,2,The 2nd one works.,3
 Can you double check that I do n't have anything planned on Saturday ? ," I found one event on Saturday . It 's "" Appointment "" from 3 : 00 to 3 : 30 PM . "," Alright , what about Sunday ?",What about Sunday?,2,Rename it to Meeting Meeting,3,What about Sunday?,0,What about Sunday?,1
 I changed my mine . I want it earlier than the first suggested time so that I can go to have lunch with Ann . , Does one of these work ? , The last one,The bottom one please,0,The bottom one please,2,I like the earlier one.,1,Delete my service at 08h on Sunday.,3
,, Decline the house party and say I have to work,Decline house party invite and say I have to work.,0,Please decline this event.,3,Decline the invite to the house party and say I have to work.,2,Decline house party invite and say I have to work.,1
 Yes . I did n't make it . ," I 've deleted your event matching "" lunch date "" on August 28 th . ", Cancel my lunch last weekend with my co worker .,"Can you tell me the weather for tomorrow in Greenville, NC?",3,Delete lunch with my team from last week.,2,Delete lunch from last week with my team,1,Delete lunch date with mom.,0
 Thank you adding drinks on my calendar . , Let me know if there 's anything else I can help you with . , Make drinks tomorrow at 8 : 00 pm 1 . 5 hours long .,Update drinks tomorrow at 8:00 to 1.5 hours.,1,Add drinks tomorrow at 8 pm for 2 and a half hours.,2,Add drinks to my calendar tomorrow at 8 pm for 1.5 hours,0,What meeting do I have in an hour?,3
 Schedule the meeting on Monday , Does one of these work ? , Chang the name to Meeting .,Chang,1,The one on the 16th,3,Rename it to Meeting Meeting,2,"Rename it to ""Meeting""",0
 Let 's go with the second one . , I 've put that on your calendar . , Can you give the address of the Smithsonian National Zoo ?,Can you give me the address for Smithsonian National Zoo?,0,What is the address of the Smithsonian National Zoo?,2,fix the second one,3,What is the address of the Smithsonian National Zoo?,1
" What is the lowest temperature tomorrow in Summerton , South Carolina ? ", The minimum temperature will be 0 . 00 ° F tomorrow . ," Is there a chance of rain in Columbia , South Carolina ?","Will it rain in Columbia, South Carolina?",1,"Will it rain today in Columbia, South Carolina?",0,"Will it rain that day in Columbia, South Carolina?",2,"What day was January 1, 2010?",3
 The second option . , I 've put that on your calendar . , I had a conference call last thursday .,I had a conference call last Thursday night,2,I had a conference call last Thursday,1,I need to move it to later this week.,3,I had a conference call last Thursday,0
 I need a meeting with kim and her skip tomorrow morning . , Here are some times when everyone is free . , Is it possible I can cancel my meeting with Kim Possible tommorrow ?,Cancel my meeting with Kim Possible tomorrow.,2,"No, they don't.",1,Cancel my meeting with Kim Possible tomorrow.,0,fix the first one,3
 Remind me about my anniversary on thursday , Does one of these work ? , Can you do an earlier time ?,make it earlier,0,make them earlier,2,I need to move it to later this week.,3,I need to edit the first event.,1
 Can you update another event now , Could you be more specific with your request ? , Xavier and I are n't going fishing anymore on Saturday .,Can you add James Karl and Mike to this event?,3,Delete the fishing event with Xavier on Saturday.,1,Xavier and I aren't going fishing on Saturday anymore.,2,Delete fishing with Xavier on Saturday.,0
,," Will Jeff , Jimmy , and Elliot be at the birthday party this weekend ?",Is Elliot coming to my birthday party this weekend?,2,"Will Jeff, Jimmy, and Elliot be at my birthday party this weekend?",1,I need to cancel all my meetings for tomorrow.,0,Can you add James and Mike to this event?,3
 need help managing my calendar ," I can help you create , update , and delete events on your calendar . You can also ask me about your schedule . ", from today to next monday,I need a meeting from today until next monday,2,Accept the meeting for next week,3,I have a meeting that ends on monday,1,I need an all day event starting this friday until monday,0
 Look well , I 've put that on your calendar . , Check for Apex at 3 .,Check for Apex at 3.,0,Can you show me my interview tomorrow?,3,Apex for Apex starts at 3.,1,Check for Apex at 3.,2
 What is on my calendar this Saturday ? , I did n't find any matching events on your calendar . , Add a 4 hour baseball game in the afternoon,Create a baseball game for 4 hours in the afternoon.,0,Create a baseball game for 4 hours this afternoon.,1,What events do I have this month with Ramon?,3,Schedule a baseball game for that afternoon for 4 hours.,2
 Did I accept the meeting call on the 24 th ? ," You were the organizer of "" Operations Call "" . "," Okay , please decline that meeting call .",Decline the meeting call.,1,cancel the meeting call,2,Change the title to Stop & Go & &,3,Please decline this event.,0
 Show me my product launch next week ," The "" product launch "" is on April 3 rd from 9 : 00 to 9 : 30 AM . ", I actually wanted the cider tasting in May,i meant the cider tasting in May,2,i meant the cider tasting in May,0,fix the second one,3,i meant the cider tasting in May,1
,, Add Cert Renewal for the 18 th through the 27,Put Cert Renewal 18 on my calendar that ends on the 18th.,1,Put Cert Renewal on my calendar from today until the 27th.,0,Who are David Lax's reports?,3,Put Cert Renewal 18 on my calendar that ends on the 18th.,2
 check the event # RoadTrip on 24 th Jan ," I found one event matching "" # RoadTrip "" on Friday the 24 th . It 's "" # RoadTrip "" from 12 : 00 to 12 : 30 PM . "," Please add "" dirty 30 with Brenda "" on the 18 th at noon .","Add ""dirty 30 with Brenda"" for the 18th at noon.",1,Add to calendar dirty 30 with Brenda on the 18th at noon.,2,Dinner can't be on the weekend.,3,"add ""dirty 30 with Brenda"" on the 18th at noon",0
 Add a meeting at 5 pm with Bob . , How 's this ? , Can you check to see if I have a board meeting next week ?,Is there a board meeting next week?,1,What about the board meeting next week?,0,I need to walk the dog before my meeting.,3,What about the board meeting next week?,2
 schedule a meeting with the marketing department tomorrow . , I can only look up names in your address book . Please use a full name and try again . , Schedule a meeting with Marcus from the marketing department tomorrow .,Is Elliot coming to my birthday party this weekend?,3,schedule a meeting with Marcus on tomorrow for the meeting department,2,Schedule a meeting with the marketing department tomorrow.,0,Can you find Jack Sparrow's address?,1
" Oh dear , I just realized I need it to be 2 hours instead of half an hour . ", Is this the change you want to make ? , Actually can you make that 3 hours and a half just to be safe ?,Schedule a morning check-in in with Pete at Starbucks on Thursday at 10:30 am.,3,"No, I need it to last for more than 3 and a half hours.",2,"No, I need it to be 3 and a half hours long.",0,"No, I need it to be 3 and a half hours instead.",1
,, What will the temperature be at 3 am tomorrow ?,What will the temperature be for my meeting at 3am tomorrow?,2,What will the temperature be at 3am tomorrow?,1,What will the temperature be at 3am tomorrow?,0,what will the weather be like at the car wash,3
 I need an hour long appointment at 4 tomorrrow , Is this good ? ," Name the appointment "" staff meeting "" .",change the staff meeting to be called staff meeting,2,"Can you change the title to ""staff meeting""",1,Rename it to Meeting Meeting,3,"Can you change the name to ""staff meeting""",0
,, BOOK 1 HOUR FOR LUNCH TODAY AFTERNOON,MAKE A ONE HOUR LUNCH TONIGHT,2,MAKE A ONE HOUR LUNCH THIS MORNING,1,"Emily isn't going to make it to the kickball game tonight, but Darren is.",3,MAKE A ONE HOUR LUNCH THIS AFTERNOON,0
 Can you make my Party happen in the PM ? , Is this the update you want ? , Make my Car Seats occur in the PM,please change my party time,0,Make my Car Seats happen in the PM,1,Make my Car Seats happen in the PM,2,Is Elliot coming to my birthday party this weekend?,3
 make a schedule to talk customer care before monday , Does one of these work ? ," Oh , okay , well , can you just mark down a morning check - in with Pete at Starbucks for 10 : 30 am on next Thursday ?",Decline the meeting call.,3,Schedule a morning check-in in with Pete at Starbucks on Thursday at 10:30 am.,0,Schedule a morning check-in Starbucks with Pete on Thursday at 10:30 am.,1,"Schedule a morning check-in, with Pete at Starbucks on Thursday at 10:30 am.",2
 That s great . Do I have another festival in the spring to attend ? ," I 've changed "" Spring Festival "" to be . No , I did n't find any other events matching "" festival "" between March 1 , 2020 and May 31 , 2020 . ", Do I have anything in the Fall with Julie ?,MAKE A ONE HOUR LUNCH THIS MORNING,3,Do I have any events with Julie this fall?,1,Do I have any events this Fall with Julie?,0,Do I have any events this Spring with Julie?,2
,, Could you please tell me what the weather be like at the car wash appointment,How old are you?,1,What will the temperature be at 3am tomorrow?,3,what will the weather be like at the car wash,2,What will the weather be like for my car wash appointment?,0
 Cancel the little league game on Wednesday . , Is this what you want me to cancel ? , Sorry I meant the one on Thursday .,Actually cancel the one on Thursday.,0,I meant the one on Thursday.,2,I meant the one on Thursday.,1,cancel the 1 pm,3
 Do I have any more meeting today ," Yes , I found 3 events today . The first is "" 1 - 1 - 1 "" from 8 : 00 to 8 : 30 AM . ", Thanks . Do i have any meetings on monday morning ?,make that 10-11,3,What do I have on Monday morning?,1,Do I have a meeting Monday morning?,0,Do I have any meetings on Monday?,2
 I 'm having super secret downtime next Tuesday from 1 to 5 . , Is this good ? , Can you make super secret downtime be on Wednesday ?,"No, it should actually be next Wednesday.",1,I meant the one on Thursday.,3,Can you change that to Wednesday?,0,Can you change that to Wednesday?,2
,, Please add a meeting in the main room for next tuesday at 8 am .,What about Sunday?,3,Change the location of the staff meeting tomorrow to Conference Room B.,0,create meeting in the main room on tuesday at 8,2,create meeting in main room on tuesday at 8,1
 I need to see doctor before Wdnesday , Does one of these work ? , the one on the 16 th works .,The one on the 16th,1,The one on the 16th,0,The one on the 16th,2,Schedule a meeting with the marketing department tomorrow.,3
 Move the dentist appointment to next Saturday . , Is this the update you want ? , Book a lunch for next wednesday with sarah and her boss,Schedule a lunch with the manager and myself for next Wednesday.,2,The one in the morning.,3,Add a lunch with sarah's manager next wednesday,1,Schedule a lunch with the manager for next Wednesday.,0
" Sorry , I ca n't have it be on a weekend . ", Does one of these work ? , Is there a day available earlier in the week ?,Is there anything available earlier in the week?,2,Can we make it earlier this week?,1,What about later in the week?,0,Schedule a lunch with the manager and myself for next Wednesday.,3
,, Did I have any meetings early next week ?,Can you tell me when my next block of free time is?,1,Do I have any meetings early next week?,0,What do I have early next week?,2,Make my Car Seats happen in the PM,3
 Do I have anything Sunday evening ? ," No , I did n't find any events on Sunday the 8 th evening . ", What events do I have this month with Ramon ?,What events do I have with Ramon this month?,1,What events do I have this month with Ramon?,0,What events do I have this month with Ramon?,2,Cancel my meeting with Kim Possible tomorrow.,3
 I need it later . , Does one of these work ? , Put the first option on the calendar .,Oh I meant Saturday,3,fix the second one,1,fix the first one,0,fix the first one,2
" I need to get a haircut on Friday around lunch , thanks ! ", Does one of these work ? ," Schedule it for 12 pm , please . Also , make a Celebratory Dinner with Thomas tomorrow at around 6 : 30 pm .","Schedule the appointment for 12:00 PM. Also, please add Celebratory Dinner with Thomas tomorrow at around 6:30 PM.",2,"No, I need it to be 3 and a half hours long.",3,"Schedule the appointment for 12:00 PM. Also, please schedule a Celebratory Dinner with Thomas tomorrow around 6:30 PM.",1,"Schedule the appointment for 12:00 PM. Also, please schedule a Celebratory Dinner with Thomas tomorrow around 6:30 PM.",0
 create time to study tonight at 7 pm . , How 's this ? , I want to make sure that I study for 3 hours tonight .,make that 10-11,3,Make it last 3 hours,1,Book 3 hours to study tonight.,0,Make it last 3 hours tonight.,2
 And when is Black Friday ? ," Black Friday is on Friday , November 29 th . ", add black friday shopping,i went black friday shopping last friday,2,create black friday shopping on friday,1,What about Sunday?,3,create black friday shopping,0
 It 's look well ," I 've changed "" Brainstorm Session "" to be at Little Anthony 's Pizza . ", Will it be raining out ?,Will it be rainy?,0,Is it raining now?,2,Oh I meant Saturday,3,Is it raining?,1
,, make a meeting with jenny tomorrow at 2,make an appointment with jenny at tomorrow 2 pm,0,Delete my service at 08h on Sunday.,3,make an appointment with jenny at 2 pm,2,make an appointment with jenny at tomorrow 2 pm,1
,, make a party with waugh the day after tomorrow 7 . 00 to 7 . 30 apm,"Can you tell me the weather for tomorrow in Greenville, NC?",0,the party with waugh ends the day after tomorrow at 7.30 pm,2,Can you add Barb to that?,3,the party with waugh ends the day after tomorrow at 7:30 pm,1
 What 's on my schedule on Friday ," You have one event on your calendar . Your "" rally "" is on Friday from 9 : 00 to 11 : 00 AM . ", How about on Saturday,What's on my schedule on Saturday?,2,Oh I meant Saturday,0,change the staff meeting to be called staff meeting,3,Oh I meant Saturday,1
 do I have anything around 1 pm on Tuesday ? ," Yes , I found one event tomorrow . It 's "" IM Burger "" from 2 : 00 to 2 : 30 . ", Please change this to In N Out Burger and make it around 5 pm,Can you rename that to In N Burger Burger and make it start around 5 pm?,1,Can you rename that to In N Out Burger and make it start around 5 pm instead?,0,Can you change that to be at In N Out Burger and then at around 5 pm?,2,Find me Texas Roadhouse in reno,3
 create a timer please ," Sorry , I ca n't do reminders . "," Jane wo n't be at the party this week , but Ashley and Sloan said they would be there instead .",cancel the 1 pm,3,Jane isn't coming to the party this week but Ashley and Sloan are.,1,Jane isn't coming to the party this week but Ashley and Sloan are.,2,Jane isn't coming to the party this week but Ashley and Sloan are.,0
 Looks great , I 've put that on your calendar . , What meeting do I have scheduled in 1 hour ?,What meeting do I have in an hour?,2,Fran should be disinvited since she is out of town.,3,What do I have an hour from now?,1,What meeting do I have an hour from now?,0
 I had a birthday party event for Emily last saturday at 12 pm , Is this what you 're looking for ? , James Karl and Mike showed up at the party as well .,"Can you add James, Karl, and Mike to this event?",0,Add dinner with Karina for last Saturday at 8 pm.,3,Can you add James and Mike to this event?,2,Can you add James Karl and Mike to this event?,1
 No ," Ok , I wo n't do anything for now . Let me know what else I can help you with . ", Can you tell me when I have a drs appt this week ?,search for dr appt this week,1,when is my dr appt this week?,0,"Can you change the title to ""staff meeting""",3,Can you search for my dr appt this week?,2
 Good can you add a scheduling task get together with Beltron on Monday at 10 am . , Is this good ? , Can you add Barb to the scheduling task ?,Yes and add Barb to the event.,0,search events,3,Can you add Barb to that?,1,Add Barb to the scheduling event.,2
 What did I do yesterday ? ," I found one event yesterday . It was "" Appointment "" from 9 : 00 to 9 : 30 AM . ", How about the day before yesterday ?,When was my longest meeting last week?,1,And the day before yesterday?,2,"Can you tell me the weather for tomorrow in Greenville, NC?",3,And the day before yesterday?,0
 Do I have anything with people attending on my calendar ? ," Yes , I found one event with attendees . It 's "" Go for a Walk "" on Saturday the 22 nd from 1 : 00 to 1 : 30 PM . ", Do I have any events in March with people attending ?,Did I RSVP to Abby's Birthday Party?,3,Do I have any events in March with people attending?,2,Do I have anything in March with people coming?,0,Do I have any events in March with people coming?,1
 what event do i have tomorrow ," I found 1 event tomorrow . It 's "" Billy 's karate "" from 9 : 00 to 10 : 00 AM . ", yeah cool now let 's make another event after that fam,Make an event right after that,0,add event after that called fam,1,add fam after this event,2,Can you rename that to In N Out Burger and make it start around 5 pm instead?,3
 ok , I 've deleted your event . , cancel the appointment at 1 : 00 PM,Schedule a meeting with the marketing department tomorrow.,3,cancel the 1 pm,2,Can you cancel my 1pm?,0,cancel the 1 pm,1
 show me my interview tomorrow ," I found 1 matching event on your calendar . It 's your "" Interview "" . ", show body prep meeting,show body prep meeting,0,show me my body prep meeting,1,show body prep,2,Search for all events,3
 Are there any events not in Nashville on Tuesday ? ," I found one matching event on your calendar . It 's "" Level 56 Illusion "" on Tuesday the 14 th from 3 : 00 to 3 : 30 PM . ", How many meetings will be held outside Washington this year ?,How many events do I have not in Washington this year?,0,How old are you?,3,What events do I have that are not in Washington this year?,2,What events do I have that are not in Washington this year?,1
,, I need the reports of David Lax,Who are David Lax's reports?,0,"No, I need it to be 2 hours long, from 2 to 3 pm.",3,Why didn't Mom come to my birthday party?,1,Who are David Lax's reports?,2
 Set pick up Mark 's gift this morning , Does one of these work ? , I 'll take the earlier morning one .,MAKE A ONE HOUR LUNCH TONIGHT,3,Set it for early morning,2,Pick the earlier time.,0,The one in the morning.,1
 I need to move my appointment with Matt to sometime between the 3 rd and 8 th of December . , How is this ? , Can we change that to later in the week ?,create meeting in main room on tuesday at 8,3,I need it to be later in the week.,0,I need it to be later in the week.,2,I need to move it to later this week.,1
 Add coffee with Josh for tomorrow at 10 am . , Is this good ? , make it from 10 til 11,make that 10-11,2,make that 10-11,0,make that 10-11,1,"Can you change the title to ""staff meeting""",3
,, How are my plans looking ?,"Can you tell me the weather for tomorrow in Greenville, NC?",2,"Emily isn't coming to the kickball game today, but Darren is.",3,What events do I have scheduled?,0,I need help with my calendar,1
 INVITE MONA TO THE DANCING COMPETITION , Does this look right ? ," Change "" dancing competition "" to 8 : 00 PM .",What will the temperature be for my meeting at 3am tomorrow?,3,put dancing competition start time changed to 8pm,0,change the time to 8pm,1,The dancing competition starts at 8.,2
 show me the star conventions ," The "" star conventions "" is on Saturday from 9 : 00 to 9 : 30 AM . ", show me my interview tomorrow,Can you show me my interview tomorrow?,1,Do I have any events this Spring with Julie?,3,show me tomorrow's interview,2,show me my interview tomorrow,0
,," Are there waiters at Buenos Grill in Reno , NV ?",Does Buenos Grill in Reno have takeout?,1,"Does Buenos Grill in Reno, NV have waiter service?",0,Does Buenos Grill in Reno have waiter service?,2,What do I have on Monday morning?,3
 It needs to be on May 3 rd please , Is this good ? , yes it is,I like turtles.,1,yes,2,"Schedule the appointment for 12:00 PM. Also, please schedule a Celebratory Dinner with Thomas tomorrow around 6:30 PM.",3,yes,0
