user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list,option_prob_list
 None , Let me know if there 's anything else I can help you with . , Book a meeting for 10 years from right now with Barack Obama ,"[""I need to meet with Barack Obama 10 years from now"", ""Meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama in 10 years"", ""Set up a meeting with Barack Obama next year"", ""Schedule a meeting with Barack Obama 10 days from now"", ""Please schedule a meeting with Barack Obama 10 years from now"", ""i need an event in 10 10 with Barack Obama"", ""i need an event with Barack Obama this year"", ""Schedule a meeting with Barack Obama 10 months from now""]","[0, 1, 2, 3, 4, 5, 6, 8, 9]","[0.10113862903123558, 0.031280774065188185, 0.00029996003898383146, 2.8245041284060576e-05, 1.191426876910221e-06, 2.532134443786329e-06, 1.6804248115355871e-06, 5.022322019366319e-07, 3.611403630843175e-07]"
 i need you to decline the event with Josh ," I will decline "" Meeting with Josh and Damon Straeter "" . Is that ok ? ", Yes also decline my AC / CD Reunion and say i am going to see Journey instead ,"[""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey instead."", ""Decline my AC / CD Reunion and say that i am going to see Journey instead"", ""Decline my AC / CD Reunion and say that i am going to see Journey"", ""Yes, that's good. Decline my AC / CD Reunion and say that I am going to see Journey."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Reunion instead."", ""Yes, that's good. Decline my AC / CD and say that i am going to see Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that i am going to see Journey Journey instead."", ""Yes, that's good. Decline my AC / CD Reunion and say that \""It am going to see Journey instead\""""]","[0, 1, 2, 3, 4, 5, 8, 9]","[0.0714672773828342, 6.842466232264689e-06, 2.1807560080848884e-16, 1.6470761439881427e-20, 3.0658714291508985e-21, 2.5317072261055362e-23, 2.502458833884761e-24, 8.397518704804895e-25]"
,," Please invite Kevin and Steve to tomorrow 's 3 : 30 meeting , and remove John , Kayla and Thomas ","[""Kevin will be replacing Steve, John, Kayla, and Thomas."", ""Add Kevin, Steve, John and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Kayla and Thomas."", ""Add Kevin and John to the event and remove Kayla and Thomas."", ""Add Kevin to the event and remove Kayla and Thomas."", ""Add Kevin to the meeting and remove Steve, Kayla and Thomas."", ""Remove John, Kayla, and Thomas from the 3:30 meeting tomorrow."", ""Kevin will be replacing Steve and John with Kayla and Thomas.""]","[0, 1, 2, 3, 4, 6, 7, 8]","[0.12399687866147, 0.0898210063606906, 3.8008234828999093e-05, 2.8884120990414177e-05, 9.32052981903567e-08, 2.924957716259126e-09, 5.4691179153525685e-09, 8.536944270602275e-09]"
,, what event do ih ave next ? ,"[""What is my next scheduled event?"", ""when is my next iih"", ""what is my next meeting at ih"", ""What is my first scheduled event?"", ""What's the first thing going on right now?"", ""Show my next meeting with ih"", ""When is my next meeting with ih?"", ""when is my next iih?"", ""What is my next event after this one?"", ""What is my next event with Kim?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.1971535576953966, 0.0017336276779458598, 4.4282863855649096e-05, 2.4656596955726674e-05, 6.571222136003409e-07, 7.818932627553596e-05, 0.0001928842900632533, 1.3129634142575869e-05, 1.444148845865802e-08, 2.8826877787097274e-08]"
 Show me events besides eating . ," I found 2 events not matching "" eating "" . ", Does my calender have anything that is not work ? ,"[""Show me events that are not eating."", ""What can you do?"", ""Show me events that are not work related."", ""Show events that are not eating."", ""Do I have anything on my calendar besides work?"", ""Show me events that are not traveling."", ""Do I have any upcoming events?""]","[0, 1, 3, 4, 5, 7, 8]","[0.15179577469825745, 0.010963521897792816, 0.3756772662899408, 3.409327920748961e-05, 0.03076035760342677, 6.25433344977281e-06, 3.7467089726054507e-06]"
 I would like to know what day presidents day falls on next year please . ," Presidents Day is on Monday , February 15 , 2021 . ", Can you put vacation on the first of June next year ? ,"[""When is Arbor Day in 2021?"", ""Can you schedule a vacation on June 1 next year?"", ""Can you schedule a vacation for the first week of June?"", ""Can you put me down for vacation sometime in June next year?"", ""Can you put me down for vacation during June next year?"", ""i need to add an event for the first week of june"", ""Can you put me down for vacation in June next year?"", ""Can you make me an event for June 1 next year?"", ""Can you schedule a vacation for the first weekend in june?"", ""Can you put me down for vacation on June 6 next year?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.0071789296343922615, 0.11653145973502074, 0.016162860026187973, 0.0001343992351329783, 1.146075943647605e-05, 5.7760663349150665e-08, 7.783546605994742e-07, 7.876767966344509e-10, 7.344856110761012e-08, 6.249169649476001e-12]"
,, Cancel my meeting for this afternoon with bob . ,"[""Cancel my meeting with bob this afternoon"", ""Cancel my meeting this afternoon with bob."", ""Cancel the meeting with bob"", ""Cancel the meeting with bob today"", ""Cancel my afternoon meeting with bob."", ""Cancel my meeting today at noon with bob.""]","[0, 1, 3, 4, 5, 9]","[0.1048395132353731, 0.07601032415039433, 6.083347523020013e-07, 2.972307617896784e-06, 7.889404420040151e-07, 2.2320619251675016e-09]"
 Hello . I want to schedule my appointment . Select this Thursday . , Does one of these work ? , OK ,"[""bye"", ""Yes"", ""How do I confirm?"", ""I want to change the time of my appointment on Thursday."", ""No"", ""Hello. I need help with my calendar."", ""Are you there?"", ""the first one""]","[0, 1, 2, 3, 4, 5, 6, 9]","[0.1644761711359024, 0.4551464802259736, 0.051420096307992935, 0.0049004885368049145, 0.0024354183115065098, 0.00236281706020236, 0.0009469027863815427, 1.3536939709904407e-10]"
 What do I have next Tuesday afternoon ? ," I found one event . It 's a "" Gym Session "" . ", Awesome . Is there a meeting between 4 and 5 pm that day ? ,"[""Do I have anything between 4 and 5 pm?"", ""Do I have anything between 4 and 5 pm that day?"", ""Anything between 4 and 5 pm that day?"", ""Is there anything between 4 and 5 pm that day?""]","[0, 1, 2, 5]","[0.1345800858816935, 0.007588830035565476, 1.4852289282501284e-09, 6.12616508930511e-14]"
 Can you give me an earlier option ? , Does one of these work ? , Please do the second work ,"[""The 2nd one works."", ""The later one works best."", ""fix the second one"", ""I am not sure yet."", ""ok"", ""The 1st one works."", ""The first option."", ""What is the second option?""]","[0, 1, 2, 4, 5, 7, 8, 9]","[0.15979207424809325, 0.0008859208319336176, 0.0003169714764226228, 5.685484211426228e-05, 5.003239035161495e-13, 2.8483970253417316e-12, 2.182015920171464e-12, 1.081157898208066e-09]"
,, I need to reschedule my Tuesday lunch . ,"[""I need to change the date of my doctor's appointment"", ""I need help with my calendar"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""I need to reschedule my lunch on Tuesday."", ""Can you reschedule my Tuesday lunch?"", ""Can you reschedule my lunch on Tuesday?"", ""Please reschedule my lunch"", ""Can you reschedule my appointment on Tuesday?"", ""Can you reschedule my Tuesday Lunch?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.29422950744628906, 0.021469194442033768, 0.006734946742653847, 0.09370370786194392, 0.008506127356583007, 5.54714267858448e-07, 5.517218831780016e-10, 7.453145936101728e-10, 2.1757501031546943e-10]"
 Please remove my appointment at 1 PM . , I did n't find any events on your calendar tomorrow at 1 : 00 PM . , Please change my 1 PM appointment to 2 PM . ,"[""I need to remove an appointment"", ""Please reschedule my appointment at 1 PM to 2 PM"", ""Please change my appointment at 1 PM to 2 PM."", ""Please change my appointment at 1 PM to 2 PM"", ""Can you change the time to 2pm"", ""Please move my appointment at 1 PM to 2 PM."", ""Please reschedule my appointment today at 1 PM to 2 PM.""]","[0, 1, 2, 3, 4, 7, 8]","[0.003513198345899582, 0.29485805167144385, 0.008357058177630206, 0.0013641892931916795, 4.212298527056473e-09, 1.5711675875969273e-10, 2.1544786207396828e-10]"
,, delete my event with Sam at the museum on the 22 nd ,"[""Sam and I aren't going to the museum on the 22nd anymore."", ""Cancel my visit to the museum on the 22nd."", ""Delete my meeting with Sam on the 22nd."", ""Delete my event at the museum on the 22nd."", ""I never went to the museum with Sam on the 22nd. Delete it."", ""Sam and I aren't going to the museum anymore on the 22nd."", ""Delete my meeting with Sam at the museum on the 22nd.""]","[0, 1, 2, 4, 5, 7, 9]","[0.19946505203445175, 0.0014827425687424104, 0.001325956406571124, 6.121349306122859e-06, 9.563559976061683e-07, 1.071909094947149e-06, 3.947667287731916e-06]"
 i payed well , Let me know if there 's anything else I can help you with . ," ok fine , what about the rest of the day ? ","[""what about the rest of the day?"", ""today's calender"", ""What events do I have that day?"", ""What else do I have that day?"", ""Do I have anything later today?"", ""any other event on my calander today"", ""what is my next event on my calander""]","[0, 1, 2, 3, 4, 5, 6]","[0.27598808674953546, 1.5504198352363962e-05, 0.00014810690566080848, 0.005523831406171141, 0.00010203943607727754, 0.00017574253317923305, 1.244209419336994e-06]"
 I need to move today 's staff meeting to Thursday afternoon . , Does one of these work ? , The later one works . ,"[""Show me different times."", ""Show some different timing."", ""The later one."", ""No, I need it to be later in the afternoon."", ""yes"", ""I'll take the later one."", ""The bottom one please"", ""The earlier one please"", ""The first one please."", ""I like the later time.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.22184033691883087, 0.08109150826931, 0.2854339810939414, 0.0010148528963327408, 2.300885742116844e-06, 5.191962770079599e-07, 4.717344452438117e-07, 4.2912908561721064e-10, 7.866525519772436e-10, 2.2709747438691804e-09]"
 i need to who know my friend , I can only look up names in your address book . Please use a full name and try again . , Can you tell me if I have a manager ? ,"[""i need john's home address"", ""Who is my boss?"", ""i need to know when my manager is free"", ""Is my boss the organizer of that event?"", ""Do I have a meeting with my boss soon?"", ""Can you find my meeting with my boss?"", ""Who is on my team"", ""when is my boss free?""]","[0, 1, 2, 4, 5, 6, 7, 8]","[0.23984140157699585, 0.11748435401503698, 0.0015308993039527387, 0.0017400535656104804, 0.0034007971098555384, 0.00014113035346008732, 3.7746781696072443e-07, 3.7774884670787097e-06]"
 The first one works , I 've put that on your calendar . , list all events ,"[""How do I add an event to my calendar?"", ""what's on my calendar?"", ""The second one, but make it an hour."", ""How many times have I met with Clinton this week?"", ""events"", ""List my events please"", ""Search for \""Meeting\"""", ""Show me all events labeled \""all\"""", ""What is on my calendar for today?"", ""What did I have earlier today?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.2416972815990448, 0.48910817946137186, 0.006947438232600689, 0.005895786918699741, 0.00031213405112190395, 2.0821713176213475e-05, 6.220903058961789e-06, 4.822974165356051e-06, 2.804023190897253e-09, 2.1824407384100945e-09]"
 yes , I have accepted it . , Thanks . Accept my personal training appointment and say that I 'll bring my own weights to use during our workout . ,"[""Please accept my personal training appointment and say that I'll bring my own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our workout."", ""Please accept my personal training and say that I'll bring my own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our."", ""Please accept my personal training appointment and say that I'll bring my own weights."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our __User event."", ""Please accept my personal training appointment and say that I'll bring my own weights to use during our our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our our workout.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.06878083123666644, 6.665393488941474e-17, 1.1575050187890248e-23, 3.483472527723795e-23, 1.7822672185963482e-23, 1.1519534213638002e-16, 8.29630067198437e-28, 2.7005675005714445e-29, 2.3881412371293394e-31, 1.696656457236407e-38]"
 YEH LIKE GOOD , Let me know if there 's anything else I can help you with . , Make it last to 11 : 00 AM actually . Thank you . ,"[""defer the next meeting with Angelo Louis"", ""update my calender events"", ""have this ending at 11"", ""Can you extend this to 11AM please"", ""Change the time to 11am"", ""Can you change the time to 11am""]","[0, 1, 2, 3, 5, 6]","[0.0015244848327711225, 0.0011516083031892776, 0.23015967935175527, 0.015993619692806483, 6.318433377685285e-08, 8.783559359908818e-07]"
,, put meeting with joe last aug 24 ,"[""put the meeting with joe on aug 24"", ""put meeting with joe at aug 24"", ""put meeting with joe at aug 24 2019"", ""put the meeting with joe on the 24th"", ""put meeting with joe at aug 24 last year"", ""put the meeting with joe at aug 24 17""]","[0, 1, 2, 3, 6, 8]","[0.25748407731030853, 0.02717670500454888, 4.540901804911755e-07, 3.059765540268102e-08, 5.898748409334706e-11, 5.979356908181915e-10]"
,, find the type of event scheduled for January 2 nd ,"[""What do I have planned for January 2nd?"", ""I need to change the date of my doctor's appointment"", ""How old are you?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""I need help with my calendar"", ""What time is my meeting on January 2nd?"", ""What is the name of the event on January 2?"", ""What is my second event on January 2?"", ""What do I have on January 2nd 2019?"", ""Who am I meeting with on January 2nd?""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.31281254667634284, 0.0016298789996653795, 0.0012842671712860465, 0.0011507772142067552, 0.0006314964266493917, 0.027364972885339008, 4.644598531410261e-07, 1.4335490075930885e-10, 6.402264532285737e-14, 1.287851339200184e-10]"
 The duration should be for two hours . Cancel the event prior to that one . ," I can only do one action at a time . If you separate your requests , I can help you . ", alright you can confirm the movies ,"[""That's alright."", ""Cancel the event prior to that one."", ""I need to change the date of my doctor's appointment."", ""What do you think the staff meeting will be about?"", ""What can you do?"", ""Yes please cancel."", ""The movies event looks good"", ""yes"", ""Do I have any days that I'm free to go to the movies?"", ""I'm going to the movies on Wednesday.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.37437230348587036, 0.027210673317313194, 0.027184728533029556, 0.004238722380250692, 0.0027334410697221756, 0.010000629136920625, 0.06335400953384623, 2.662240891818393e-05, 7.677377239879905e-07, 1.7527959118643462e-09]"
 what are the wind speeds , It 's 5 . 71 mph . , when is sunset ,"[""when is sunset today?"", ""when is sunset?"", ""What time does it start?"", ""what time is sunset?"", ""what time is sunrise today?"", ""what time will the sun set?"", ""What is the traffic like?""]","[0, 1, 2, 3, 6, 7, 8]","[0.355845484830723, 0.0019885134604887347, 2.236739556770191e-06, 1.544176361615412e-14, 1.2190147242980485e-13, 3.137564470884717e-13, 0.0]"
 What time is my meeting on Friday ? , The event on your calendar is tomorrow at 9 : 00 AM . , Does Dan Schoffel report to anybody ? ,"[""When did I last drink a coffee?"", ""Who is Dan Schoffel's boss?"", ""Who are Dan Schoffel's reports?"", ""What is Dan Schoffel contact info?"", ""Is Dan Schoffel invited?"", ""Is Dan Schoffel's manager invited?"", ""Is Dan Schoffel's boss invited?"", ""Who is Dan Schoffel's manager?"", ""Is Dan Schoffel's manager?""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[0.392039954662323, 0.12109345216309261, 0.0008554934495888982, 2.361608976484376e-10, 4.333392479075366e-10, 1.1974110739363318e-08, 1.55142228371705e-10, 1.238490920341955e-10, 5.5938908488451935e-11]"
 when did i meet with John last week ? , The event with John last week was on Wednesday the 8 th at 9 : 00 AM . , Change the time to 10 am to 11 am . ,"[""when can i meet with john next week?"", ""change the meeting time at 10.00 am - 11.00am"", ""Change the time to 11am"", ""change the time 10.00 am - 11.00am"", ""The meeting lasted until 11:00 AM."", ""change the time from 10.00 am - 11.00am"", ""please change the meeting 10.00 to 11.00 am"", ""please change the meeting 10.00 am - 11.00am"", ""Can you change the time to 10:00 to 11:00 AM?""]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[0.0006103661144152284, 0.35346808505594846, 7.931823537136324e-08, 2.594061270791556e-10, 1.209403084212247e-10, 6.758870502474879e-14, 2.3982016745048832e-14, 5.662117424985843e-15, 4.545134086965639e-15]"
 Make an all day event for tomorrow with Abby , Is this what you 're looking for ? , Abby just called . She will not be able to make it . Cancel the all - day event . ,"[""cancel this all day event"", ""Remove Abby from the all day event"", ""cancel the meeting"", ""Delete the all day event without Abby"", ""cancel the all day event"", ""No, cancel that all day event."", ""Delete my all day event"", ""Remove Abby from that"", ""Delete the all day event without Abby please."", ""Remove Abby from my all day event please.""]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0.3784927427768707, 0.014388324791161292, 9.50333217721866e-05, 0.005678950571933072, 0.00029363643487415395, 0.00016358017088280528, 0.0001694066655906351, 5.869446434192646e-07, 5.852523910294819e-05, 6.032375363933043e-07]"
 I do nt have anything else there right ? , I did n't find any other events . , Where is my Climbing session 1 again ? ,"[""Where is my Climbing session 1?"", ""Where is my Climbing session?"", ""Where is my Climbing session __User"", ""Where is the Climbing session again?"", ""Where is my Climbing session at 1 pm?"", ""Where is the Climbing session 1 at that month?""]","[0, 1, 2, 5, 8, 9]","[0.33004262611594287, 0.0012482110884762764, 2.223377819502395e-09, 6.657925477805353e-10, 2.259525253937244e-07, 1.751761532797958e-14]"
 On second thought I 'm going to need it scheduled a little bit earlier . , Does one of these work ? , No later in the morning ,"[""No, I need something later in the morning."", ""I like the earlier one."", ""fix the second one"", ""No, none of those work."", ""What about late morning?"", ""No, I need something in the morning."", ""No, I need something later in the afternoon."", ""Can we make it a little earlier in the morning?""]","[0, 1, 2, 3, 5, 6, 7, 9]","[0.35378628250196936, 0.0010373364202678204, 0.0007952252635732293, 0.0006404175073839724, 5.287343190566448e-11, 8.006690299140378e-13, 4.9675502435209606e-14, 4.1865312348701893e-13]"
,," I keep forgetting things , so show my day ","[""What is on my calendar for today?"", ""What events do I have scheduled?"", ""Can you tell me the weather for tomorrow in Greenville, NC?"", ""What is today's date?"", ""What do I have later today?"", ""What day is it?"", ""can you explained the meeting"", ""What's going on right now?"", ""What did I have earlier today?""]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[0.3009682381760712, 0.07989740428595216, 0.0008983213338069618, 0.00021717216221226257, 0.000298039880503035, 3.693338373894151e-06, 7.0979146085085e-07, 8.821310646889166e-10, 2.530831389553067e-13]"
 first one is good , I 've put that on your calendar . , I will need another appointment on Friday for lunch sometime before 2 ,"[""I need a lunch before 2 pm Friday"", ""I need a meeting before 2 pm Friday"", ""I need to have a lunch before 2 pm Friday"", ""I need a lunch after 2 pm Friday"", ""Can you schedule lunch between 2 and 2:30 pm on Friday?"", ""Can you schedule lunch for Friday after that around 2 pm?""]","[0, 3, 4, 6, 7, 8]","[0.32976930090208956, 1.540898361664883e-07, 2.5261084573424643e-05, 6.373397601349041e-07, 2.4659830630330126e-07, 2.505362450977873e-07]"
 yes . Now I would like to decline the afterparty and say that I 'm still at work ," I have declined it . I will decline "" Afterparty "" and send a response to the organizer with the following comment : "" I 'm still at work "" . Is that ok ? "," Ok Perfect , then could you decline the RoundUp for next week . ","[""Yes, that's good. Decline my RoundUp for next week."", ""Decline the RoundUp next week"", ""can you decline the RoundUp"", ""Yes, that's good. Decline my RoundUp and say that I'm sick."", ""Yes, that's good. Decline my RoundUp for next week"", ""Yes, that's good. Decline RoundUp day next week"", ""Yes, that's good. Decline RoundUp next week as well."", ""Yes, that's good. Decline RoundUp next week"", ""Yes, thank you. Decline my RoundUp for next week and say that I will be out of town.""]","[0, 1, 2, 3, 5, 6, 7, 8, 9]","[0.46089404512005727, 8.957846090478464e-06, 4.955469575686727e-11, 5.922445649576783e-09, 2.9730475702363575e-17, 1.4717332683779658e-16, 2.3225981163050345e-21, 8.159656024405876e-17, 1.7367688312633677e-21]"
,, Can you put Shelley on the schedule for Monday 's Advisory Board Meeting ? ,"[""Add Shelley to the Advisory Board Meeting on Monday."", ""Can you add Shelley to Monday's Advisory Board Meeting?"", ""Put on calendar Advisory Board Meeting with Shelley on Monday."", ""Add Shelley to the Advisory Board Meeting"", ""Add Shelley to Monday's Advisory Board Meeting.""]","[0, 1, 2, 5, 9]","[0.41032377011463383, 7.708235202104435e-05, 4.304946795620571e-07, 1.847534528511546e-10, 5.372639438839499e-12]"
 Add training to the 10 th from 4 : 00 pm until 6 : 00 pm . , Is this good ? , how about next month ? ,"[""Actually make it next month."", ""Have training last all day the next day."", ""I meant training next month."", ""What do I have next month?"", ""Actually change it to next month."", ""Actually move it to next month."", ""postpone training to the next month""]","[0, 1, 2, 3, 6, 7, 9]","[0.4855461798782451, 0.0015558147570118308, 0.0005824943033161186, 4.890393938296622e-11, 1.2894550463733752e-14, 1.5776239386833216e-14, 5.254890755416542e-14]"
,, Can you tell me where and when my appointment with Batman will be ? ,"[""I need to cancel all my meetings for tomorrow."", ""Can you tell me when my doctors appointment is and what time it is?"", ""When is my appointment with Batman?"", ""Can you tell me when my appointment with Batman will be?"", ""Can you tell me any upcoming events I have with Batman?"", ""Can you tell me where my appointment with Batman will be?"", ""Can you tell me where and when my appointment with Batman will be?"", ""Can you tell me the location of my appointment with Batman?"", ""Can you tell me where my appointment with Batman is?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0.4813959300518036, 2.41080190082068e-05, 1.5951991459252097e-05, 4.863233440523908e-06, 8.711716430268001e-08, 2.411318039005812e-06, 1.2158663049497004e-05, 7.521243471344434e-07, 7.636291409632923e-07]"
 That 's good . , I 've put that on your calendar . , What date is Easter Sunday this year ? ,"[""When is Easter this year?"", ""When is Easter Monday this year?"", ""When is Easter Monday?"", ""When is Easter?"", ""When is Flag Day this year?"", ""When is New Years Eve this year?"", ""when is chrismas"", ""When is Thanksgiving this year?"", ""What day of the week is Easter this year?""]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[0.47838413237080096, 0.0013487493560451521, 0.0003164407905098532, 0.00012008711424864402, 4.252060775948846e-07, 1.1073144190385088e-07, 9.025460834551999e-08, 8.765131217764295e-08, 1.258367592196741e-07]"
 Anything else on that day ? ," I found one other event on your calendar . It 's "" Coffee House "" on December 1 st from 10 : 00 to 10 : 30 AM . ", What about the next day ? ,"[""What about the next day?"", ""Anything the next day?"", ""What do I have the day after that?"", ""What do I have the next day?"", ""What about the day after?""]","[0, 1, 2, 3, 9]","[0.42970976362913826, 0.00013568813312037677, 3.577237172573674e-07, 2.4085554358991925e-07, 8.892628629868118e-11]"
