user_turn_0,agent_turn_0,user_turn_1,option_list,option_idx_list
,," Please invite Kevin and Steve to tomorrow 's 3 : 30 meeting , and remove John , Kayla and Thomas","[""Kevin will be replacing Steve, John, Kayla, and Thomas."", ""Add Kevin, Steve, John and remove Kayla and Thomas."", ""Add Kevin and John to the event and remove Kayla and Thomas.""]","[0, 1, 2]"
,, what event do ih ave next ?,"[""What is my next scheduled event?"", ""when is my next iih"", ""Show my next meeting with ih""]","[0, 1, 2]"
 Show me events besides eating . ," I found 2 events not matching "" eating "" . ", Does my calender have anything that is not work ?,"[""Show me events that are not eating."", ""Show me events that are not work related."", ""Do I have anything on my calendar besides work?""]","[0, 1, 2]"
 I would like to know what day presidents day falls on next year please . ," Presidents Day is on Monday , February 15 , 2021 . ", Can you put vacation on the first of June next year ?,"[""Can you schedule a vacation on June 1 next year?"", ""Can you schedule a vacation for the first week of June?"", ""Can you put me down for vacation sometime in June next year?""]","[0, 1, 2]"
,, Cancel my meeting for this afternoon with bob .,"[""Cancel my meeting with bob this afternoon"", ""Cancel my meeting this afternoon with bob.""]","[0, 1]"
 Hello . I want to schedule my appointment . Select this Thursday . , Does one of these work ? , OK,"[""bye"", ""Yes"", ""How do I confirm?""]","[0, 1, 2]"
 What do I have next Tuesday afternoon ? ," I found one event . It 's a "" Gym Session "" . ", Awesome . Is there a meeting between 4 and 5 pm that day ?,"[""Do I have anything between 4 and 5 pm?"", ""Do I have anything between 4 and 5 pm that day?"", ""Is there anything between 4 and 5 pm that day?""]","[0, 1, 2]"
 Can you give me an earlier option ? , Does one of these work ? , Please do the second work,"[""The 2nd one works."", ""The later one works best.""]","[0, 1]"
,, I need to reschedule my Tuesday lunch .,"[""I need to change the date of my doctor's appointment"", ""I need to reschedule my lunch on Tuesday."", ""Can you reschedule my Tuesday lunch?""]","[0, 1, 2]"
 Please remove my appointment at 1 PM . , I did n't find any events on your calendar tomorrow at 1 : 00 PM . , Please change my 1 PM appointment to 2 PM .,"[""Please reschedule my appointment at 1 PM to 2 PM"", ""Please change my appointment at 1 PM to 2 PM."", ""Please change my appointment at 1 PM to 2 PM""]","[0, 1, 2]"
,, delete my event with Sam at the museum on the 22 nd,"[""Sam and I aren't going to the museum on the 22nd anymore."", ""Cancel my visit to the museum on the 22nd."", ""Delete my meeting with Sam on the 22nd.""]","[0, 1, 2]"
 i payed well , Let me know if there 's anything else I can help you with . ," ok fine , what about the rest of the day ?","[""what about the rest of the day?"", ""What else do I have that day?"", ""any other event on my calander today""]","[0, 1, 2]"
 I need to move today 's staff meeting to Thursday afternoon . , Does one of these work ? , The later one works .,"[""Show me different times."", ""Show some different timing."", ""The later one.""]","[0, 1, 2]"
 i need to who know my friend , I can only look up names in your address book . Please use a full name and try again . , Can you tell me if I have a manager ?,"[""i need john's home address"", ""Who is my boss?"", ""i need to know when my manager is free""]","[0, 1, 2]"
 The first one works , I 've put that on your calendar . , list all events,"[""How do I add an event to my calendar?"", ""what's on my calendar?"", ""events""]","[0, 1, 2]"
 yes , I have accepted it . , Thanks . Accept my personal training appointment and say that I 'll bring my own weights to use during our workout .,"[""Please accept my personal training appointment and say that I'll bring my own weights to use during our workout."", ""Please accept my personal training appointment and say that I'll bring my own weights to our workout during our workout."", ""Please accept my personal training appointment and say that I'll bring own weights to use during our workout.""]","[0, 1, 2]"
 YEH LIKE GOOD , Let me know if there 's anything else I can help you with . , Make it last to 11 : 00 AM actually . Thank you .,"[""have this ending at 11"", ""Can you extend this to 11AM please""]","[0, 1]"
,, put meeting with joe last aug 24,"[""put the meeting with joe on aug 24"", ""put meeting with joe at aug 24"", ""put meeting with joe at aug 24 2019""]","[0, 1, 2]"
,, find the type of event scheduled for January 2 nd,"[""What do I have planned for January 2nd?"", ""What time is my meeting on January 2nd?"", ""What is the name of the event on January 2?""]","[0, 1, 2]"
 The duration should be for two hours . Cancel the event prior to that one . ," I can only do one action at a time . If you separate your requests , I can help you . ", alright you can confirm the movies,"[""That's alright."", ""Yes please cancel."", ""The movies event looks good""]","[0, 1, 2]"
 what are the wind speeds , It 's 5 . 71 mph . , when is sunset,"[""when is sunset today?"", ""when is sunset?"", ""what time is sunset?""]","[0, 1, 2]"
 What time is my meeting on Friday ? , The event on your calendar is tomorrow at 9 : 00 AM . , Does Dan Schoffel report to anybody ?,"[""When did I last drink a coffee?"", ""Who is Dan Schoffel's boss?"", ""Who are Dan Schoffel's reports?""]","[0, 1, 2]"
 when did i meet with John last week ? , The event with John last week was on Wednesday the 8 th at 9 : 00 AM . , Change the time to 10 am to 11 am .,"[""change the meeting time at 10.00 am - 11.00am"", ""please change the meeting 10.00 am - 11.00am"", ""Can you change the time to 10:00 to 11:00 AM?""]","[0, 1, 2]"
 Make an all day event for tomorrow with Abby , Is this what you 're looking for ? , Abby just called . She will not be able to make it . Cancel the all - day event .,"[""cancel this all day event"", ""Remove Abby from the all day event"", ""Delete the all day event without Abby""]","[0, 1, 2]"
 I do nt have anything else there right ? , I did n't find any other events . , Where is my Climbing session 1 again ?,"[""Where is my Climbing session 1?"", ""Where is my Climbing session?""]","[0, 1]"
 On second thought I 'm going to need it scheduled a little bit earlier . , Does one of these work ? , No later in the morning,"[""No, I need something later in the morning."", ""What about late morning?""]","[0, 2]"
,," I keep forgetting things , so show my day","[""What is on my calendar for today?"", ""What events do I have scheduled?"", ""What do I have later today?""]","[0, 1, 2]"
 first one is good , I 've put that on your calendar . , I will need another appointment on Friday for lunch sometime before 2,"[""I need a lunch before 2 pm Friday"", ""I need to have a lunch before 2 pm Friday""]","[0, 2]"
 yes . Now I would like to decline the afterparty and say that I 'm still at work ," I have declined it . I will decline "" Afterparty "" and send a response to the organizer with the following comment : "" I 'm still at work "" . Is that ok ? "," Ok Perfect , then could you decline the RoundUp for next week .","[""Yes, that's good. Decline my RoundUp for next week."", ""Decline the RoundUp next week"", ""Yes, that's good. Decline my RoundUp and say that I'm sick.""]","[0, 1, 2]"
,, Can you put Shelley on the schedule for Monday 's Advisory Board Meeting ?,"[""Add Shelley to the Advisory Board Meeting on Monday."", ""Can you add Shelley to Monday's Advisory Board Meeting?""]","[0, 1]"
 Add training to the 10 th from 4 : 00 pm until 6 : 00 pm . , Is this good ? , how about next month ?,"[""Actually make it next month."", ""Have training last all day the next day."", ""I meant training next month.""]","[0, 1, 2]"
,, Can you tell me where and when my appointment with Batman will be ?,"[""I need to cancel all my meetings for tomorrow."", ""Can you tell me the location of my appointment with Batman?"", ""When and where will my appointment with Batman be?""]","[0, 1, 2]"
 That 's good . , I 've put that on your calendar . , What date is Easter Sunday this year ?,"[""When is Easter this year?"", ""When is Easter Monday this year?"", ""When is Easter Monday?""]","[0, 1, 2]"
 Anything else on that day ? ," I found one other event on your calendar . It 's "" Coffee House "" on December 1 st from 10 : 00 to 10 : 30 AM . ", What about the next day ?,"[""What about the next day?"", ""Anything the next day?""]","[0, 1]"
 what is currently on my schedule , Here 's what I found : , can i schedule something,"[""please update my calender"", ""what can you help me with"", ""Add an event to my calendar""]","[0, 1, 2]"
 Do I see Amy today ? ," Yes , I found 1 event with Amy Miller today . It 's "" Date Night "" from 7 : 00 to 9 : 00 PM . ", Can you change the time to 8 ?,"[""Change the time to 8pm"", ""Change the time to 8am"", ""Can you change that to be around 8 pm?""]","[0, 1, 2]"
 what events are this weekend ? , I did n't find any events this weekend . ," Nevermind , just put that on my calendar","[""How do I create an event?"", ""Yes that looks right."", ""Can you create an event?""]","[0, 1, 2]"
" Hi , what meetings do I have scheduled for tomorrow ? ", Here 's what I found : , Is there something the next day ?,"[""Do I have anything the next day?"", ""How about the day after?""]","[0, 1]"
 good deal , Let me know if there 's anything else I can help you with . , I need to find when I last met with bob .,"[""When was my last meeting with bob?"", ""When was the last time I saw bob?""]","[0, 2]"
 Do I meet with Tasha next week ? ," Yes , I found one event with Tasha next week . It 's "" Lunch near Lake T "" on Wednesday the 30 th from 12 : 30 to 1 : 30 PM . ", Is there a play later this week ?,"[""Do I have a play later this week?"", ""Do I have a play later next week?""]","[0, 1]"
,, How long have a blocked out for my doctor 's appointment ?,"[""How old are you?"", ""How many days do I have completely free next month?"", ""How long is my doctor's appointment?""]","[0, 1, 2]"
" Yes , perfect ", I 've put that on your calendar . , When is my OBGYN appointment ?,"[""when is my OBGYN appointment?"", ""Can you find my OBGYN appointment?""]","[0, 2]"
,, Create meeting in room 23 on monday at 12,"[""create meeting in room 23 on monday at 12"", ""create meeting on monday at 12 in room 23"", ""create meeting in room on monday at 12""]","[0, 1, 2]"
 Good have that I have a meeting at 11 that day . , Is this good ? , Yes but reschedule it for the following Monday instead .,"[""Reschedule that meeting to the following Monday."", ""Reschedule the meeting to the following Monday."", ""Reschedule that please""]","[0, 1, 2]"
 Am I free late morning Monday ? , Yes . Here are some times when you are free on Monday the 16 th . , What about on Friday ?,"[""What about Friday?"", ""What about next Friday?""]","[0, 1]"
 Put tom as one of the attendees . , Does this look right ? , yes please make the end time 6 pm,"[""Change the end time to 6:00 PM."", ""Remove Damon from the meeting."", ""Yes, but change the end time to 6:00 PM.""]","[0, 1, 2]"
 Yes please . Then recreate it for the week after ," I 've deleted your next event . Sorry , I ca n't handle that yet . ", ok make sure to delete the meeting with martin afterword,"[""cancel the meeting with martin"", ""Cancel meeting with martin"", ""cancel meeting with martin""]","[0, 1, 2]"
 That is great . , I 've put that on your calendar . , I will be attending a work conference in Florida for 4 days starting on November 15 th .,"[""I have a work conference in Florida starting on November 15th and lasting 4 days."", ""Mark that I will be in Florida for 4 days starting November 15th.""]","[0, 2]"
 cancel that please , Is this what you want me to cancel ? ," Do n't cancel it , just move it to next week instead .","[""Yes and reschedule for next week."", ""No, just move it to next week."", ""No actually just move it to next week.""]","[0, 1, 2]"
" Do I have any availability this weekend , particularly on Saturday morning ? "," No , I did n't find any events on Saturday in the morning . ", What about Next Saturday ?,"[""What about next Saturday?"", ""What about the following Saturday?"", ""What about Saturday morning?""]","[0, 1, 2]"
 hold on , No problem . , Now Create an Appointment with Jesse at 9 : 00 Pm,"[""make a meeting with Jesse at 9 pm"", ""Make a meeting with Jesse at 9 pm that day.""]","[0, 2]"
,, Change the location of the Family Road Trip from Phoenix to Chicago .,"[""Change the location of \""Family Road Trip\"" from Phoenix to Chicago"", ""Change the location of \""Family Road Trip\"" in Chicago."", ""Change the location of \""Family Road Trip\"" to Chicago""]","[0, 1, 2]"
,, Please schedule a reminder for my 5 pm conference call tomorrow afternoon,"[""Remind me of the first flight to london"", ""I have a conference call tomorrow at 5 pm"", ""I have a conference call tomorrow afternoon.""]","[0, 1, 2]"
 change the meeting with ben time at 10 . 00 am , How is this ? , I need to call Ben to inform him of the change . Do you have his number ?,"[""Prepare presentation materials"", ""email Ben that the meeting is set"", ""What is Ben's phone number?""]","[0, 1, 2]"
 it should actually be on Wednesday , Yes . Here are some times when Joe and you are free on Wednesday the 18 th . , Am i free next month,"[""Am I free next month?"", ""When am I free next month?""]","[0, 1]"
 Yes . Is there anything scheduled for after that event ? ," I 've put that on your calendar . No , I did n't find any events on August 5 th after 2 : 30 . ", ok put meeting on tomorrow after 12 PM,"[""I need a meeting tomorrow after 12 pm"", ""I need a meeting tomorrow after 12""]","[0, 2]"
 Can you find their number for me ? , It 's ( 502 ) 452 - 9244 . , Can you tell me how much The Wild Cow in Nashville costs ?,"[""How much is The Wild Cow in Nashville?"", ""What is the price of Wild Cow in Nashville?"", ""How much is The Wild's in Nashville?""]","[0, 1, 2]"
,, Learn spanish in the Winter,"[""Learn spanish in winter"", ""How old are you?"", ""create an event in winter for spanish spanish""]","[0, 1, 2]"
 Can you delete the events on Monday and Tuesday ? ," I can only do one action at a time . If you separate your requests , I can help you . ", Create event for Monday and Tuesday called Vacation .,"[""Delete all events on Monday and Tuesday."", ""What events do I have on Monday and Tuesday?"", ""Mark next Monday and Tuesday as Vacation.""]","[0, 1, 2]"
 put meeting with johnny on calender , Does one of these work ? , fix the second one on calender,"[""The 2nd one works great"", ""fix the second one"", ""put meeting with johnny""]","[0, 1, 2]"
" please , cancel the all appointments on April 19 "," I can only do one action at a time . If you separate your requests , I can help you . ", I m going fishing on Saturday,"[""Add fishing on saturday"", ""I'm going fishing this Saturday."", ""add fishing fishing on saturday""]","[0, 1, 2]"
 Who are Jake 's reports , Jake Cobb has no direct reports . , Who does he report to ?,"[""Who does he repot to?"", ""who does he report to?"", ""Who does Jake report to?""]","[0, 1, 2]"
,, Please check to see if I have any dentist appointments this week .,"[""What dentist appointments do I have this week?"", ""Do I have any dentist appointments this week?"", ""What day is my dentist appointment this week?""]","[0, 1, 2]"
,, Set a reminder for my doctor 's appointment Friday,"[""Remind me of the first flight to london"", ""I have a doctor's appointment on Friday"", ""I had a doctor's appointment last friday?""]","[0, 1, 2]"
 Can you schedule me a hair apointment for next wee , Does one of these work ? , 28 is ok,"[""The one on the 28th"", ""The one on the 28th please""]","[0, 1]"
 schedule a meeting with amma at 6 pm , Is this good ? , actually it should be in 1 hour from now,"[""postpone the meeting to one hour from now"", ""Make it an hour from now"", ""Push it back by 1 1 in.""]","[0, 1, 2]"
 ok delete all events one by one ," I can only do one action at a time . If you separate your requests , I can help you . ", WHEN YOU ARRANGE WITH EVENT,"[""When is my appointment?"", ""when is my next meeting?"", ""WHEN IS MY ARRANGE""]","[0, 1, 2]"
 What will be the weather tomorrow ," It will be clear with a high of 0 . 00 ° F and a low of 0 . 00 ° F on Sun , October 28 . ", How much rain will we get today ?,"[""How much rain will we get today?"", ""Will it rain today?"", ""What is the chance of rain today?""]","[0, 1, 2]"
 What about tomorrow night ? ," Yes , I found one event . It 's "" Appointment "" tomorrow from 8 : 00 to 8 : 30 PM . ", And the morning ?,"[""And the morning?"", ""And the next morning?""]","[0, 1]"
 Set a dinner date for 5 th of April , Does one of these work ? ," No , at 7 PM","[""can you arrange with 7:00 PM""]",[0]
 I need to invite Abby to that , How is this ? , it also needs to be all day,"[""Make it last all day.""]",[0]
 Do I have anything scheduled today ? ," No , I did n't find any events for the rest of today . ", Add a one hour meeting with Amy to my schedule at 3 PM today .,"[""Add a one hour meeting with Amy to my schedule today at 3 PM.""]",[0]
 Do I have meeting with John tomorrow ? ," Yes , I found one event tomorrow . It 's "" Meeting with John and Damon Straeter "" from 2 : 00 to 2 : 30 PM . ", how about with Erin ?,"[""What about with Erin?""]",[0]
,, Can you make a meeting for john in 2 hours with me at sprint ?,"[""make a meet with john at sprint in 2 hours"", ""make an appointment with john at McDonalds in 2 hours"", ""meeting with john at sprint in 2 hours""]","[0, 1, 2]"
 schedule lunch with all departmental heads , I can only look up names in your address book . Please use a full name and try again . , Can you find Mike in my book ?,"[""Look up Mike in my address book""]",[0]
 add dates to my calendar , Does one of these work ? , yes,"[""yes""]",[0]
,, What time is the soccer game ?,"[""when is my soccer game?""]",[0]
 How hot will it be when I land in LA tonight ? , The maximum temperature will be 0 . 00 ° F today . , On Saturday in St. Louis will there be storms ?,"[""Is there going to be any storms in St. Louis on Saturday?"", ""Will it be raining in St. Louis on Saturday?"", ""Will it rain in St. Louis on Saturday?""]","[0, 1, 2]"
,, Schedule Spring Festival for April .,"[""Spring Festival is in April""]",[0]
 who has not Declined to Team Lunch ," Here is the list of attendees who have not declined "" Team lunch "" : you and Kim Possible . ", So then who has not Accepted that ?,"[""Who has not accepted that?""]",[0]
" Perfect , thank you . ", Let me know if there 's anything else I can help you with . , Make a appointment for tomorrow .,"[""Make a appointment for tomorrow""]",[0]
 Thank you . ," I 've changed "" Meeting with Barack Obama "" to be . ", Can you cancel the meeting with Barack Obama ?,"[""Meeting with Barack Obama. Cancel""]",[0]
" Okay , yes then , please set my gym appointment for Thursday at 1 pm . ", Is this good ? , Correct,"[""Yes it does.""]",[0]
 who has nt accepted the happy hour ," Here is the list of attendees who have not accepted "" happy hour "" : you and Kim Possible . Unfortunately , Kim Possible declined . ", Who has not declined the happy hour then ?,"[""Who has not declined the happy hour?""]",[0]
 Add Fran to my 2 : 30 meeting today , I did n't find any events at 2 : 30 PM . , Remove my 2 : 30 meeting today,"[""cancel my 2 : 30 meeting today""]",[0]
 When did you say it starts ? , It starts March 1 st at 2 : 00 PM . , And when will it end ?,"[""And when does it end?""]",[0]
 Thanks . Now can you put an early dinner event at 16 h for the same day ? , Is this what you 're looking for ? , Yessir .,"[""Yes, this looks good.""]",[0]
 ok fine thank you ," I 've changed "" Doctor 's Appointment for that issue that 's maybe life - threatening "" to be . ", Cancel my doctors appointment for friday,"[""Can you cancel my doctors appointment on Friday?""]",[0]
